cell_som_cluster,CD3,CD4,CD8,CD14,CD20,CD31,CD45,CD68,CD163_nuc_exclude,CK17,Collagen1,Fibronectin,ECAD_smoothed,HLADR,SMA,Vim,cell_meta_cluster,cell_meta_cluster_rename
1,0.4020995556556336,0.4735574151306924,0.0522878830761231,0.0712884026056192,0.0901066987822682,0.0251937257890877,0.4514109115461108,0.053694602290464,0.041408577410246,0.0367641098852823,0.0627889678718732,0.0474175308087408,0.0634428601995226,0.084070242909329,0.0239820623595653,0.0999024206557804,21,CD4T
2,0.3699984257788555,0.436205405470764,0.0617934405856329,0.081689706953848,0.0844360142677115,0.0261746732785994,0.4201995470243047,0.0587195413175384,0.0547869691438471,0.0362974243867202,0.0776403382932091,0.0565448997465154,0.0684321292668051,0.0921674183211804,0.0257342183032173,0.1023024187731181,21,CD4T
3,0.3494330839832875,0.406953948745334,0.0845115912378221,0.0743908019554329,0.0809511819040885,0.0259544046457045,0.4034100533371823,0.057696721581805,0.047107217891915,0.0343631374962699,0.0690729686617505,0.0525451386842246,0.0673117000427924,0.1737257871984647,0.0249054026099401,0.1033242784204979,21,CD4T
4,0.3662585189265366,0.3537630323852971,0.1937797620318805,0.0733479853277584,0.0947489521831194,0.023890386809141,0.4184035898022513,0.0533330198355498,0.0457307220670532,0.0364481762932302,0.0719559102980062,0.0545420249893498,0.0611143292055279,0.0926413066322235,0.0249734906923519,0.0997723295805886,21,CD4T
5,0.3571089408921292,0.2799011178115512,0.3023088551697256,0.0729511224213333,0.099766271843599,0.0234403942333078,0.4088906114315969,0.050597129147588,0.0461338755268574,0.0364281072561454,0.0748498826577627,0.0571679183268993,0.0593107648481954,0.0838591581925101,0.0238979094446406,0.097256740957253,2,CD8T
6,0.3378466955015333,0.2171473154656367,0.4287139430283895,0.0717978841366971,0.0835081203518711,0.019342464899668,0.4018436203604351,0.0468245802012509,0.0459269371121971,0.033714229793392,0.0820376008507081,0.0617766867327187,0.0542553420521673,0.0773751868649991,0.0246046078059209,0.0927646132377404,2,CD8T
7,0.3259030423909966,0.1455489359410847,0.5556921025914872,0.0693320509245947,0.0692916050020401,0.0183726208585574,0.3882975391507703,0.04442908270115,0.0445719044262585,0.0309175461538412,0.089575475114645,0.0676855285814065,0.0523187446035316,0.0699873529918468,0.0251686597241407,0.0918022064418843,2,CD8T
8,0.241161990767492,0.1372004706912803,0.3684408293998606,0.0858455844205657,0.055387055873919,0.0160277688427191,0.291944931374564,0.0512563182106403,0.0623703083465367,0.0291089430869917,0.1954795036134382,0.1257216776564999,0.0745936684374304,0.0657678454890638,0.0291248429159076,0.0884616074088114,2,CD8T
9,0.1409294113384868,0.1482639235840578,0.0554297237420225,0.0853594254775615,0.0422550928782404,0.0174195192082512,0.1589222614896902,0.051752192819901,0.0594366361784905,0.0357552710721945,0.3409394800009721,0.2081216141242583,0.1172607736447747,0.0652227882387614,0.0429109863004839,0.0912330140740704,29,stroma
10,0.0643969486460028,0.076433197431094,0.0338608192437354,0.0605238967498678,0.0228303708068009,0.0151320780531342,0.0819849742186125,0.0340586334706973,0.0410893430206329,0.0256609653337295,0.5034428819832909,0.3027674940460311,0.1068138427645089,0.0390418912314197,0.0570986225246157,0.0956721968008414,29,stroma
11,0.3807760620734118,0.4417407185224097,0.0525196321424904,0.0716926057358689,0.1257039263889286,0.0251554481949028,0.4521388054913312,0.0548903234064093,0.0427659121470573,0.0372159087890532,0.0608692593550123,0.0457649402294936,0.062201432493324,0.092431380750336,0.0235930217328016,0.0995801428420291,21,CD4T
12,0.4219644451391088,0.433128803061401,0.0589236744776853,0.0756417868026296,0.0938516831823268,0.0268315774588418,0.4216324127024831,0.0565967626441461,0.0439290206443613,0.0403404485740108,0.0655378204892395,0.0507678893758725,0.0665690506095789,0.0844618176647895,0.0251793172831569,0.1014710218312689,21,CD4T
13,0.3103422785665874,0.3836472107859849,0.0495687443294444,0.1158120667909879,0.0803206866516319,0.0255520637215393,0.3649315754719052,0.0715009417061579,0.1090846068213128,0.0329803172121671,0.0943221684941534,0.0661738699836561,0.0782895724515552,0.0944070910536168,0.0293043963198752,0.1034426846318543,21,CD4T
14,0.3463398146247542,0.3434123231974071,0.1221493007514373,0.0802452733398068,0.0901655272993183,0.0332802741403247,0.3734449551645102,0.063029185375438,0.0557987395178237,0.0370176153236097,0.0800667718098682,0.0617291907982655,0.0688021142980615,0.0952730066183151,0.0301341846680091,0.1131363566161004,21,CD4T
15,0.3179345582938717,0.2633629639452309,0.2107355108980907,0.0853677767686619,0.1165880216861956,0.0265574927095785,0.3674625104543638,0.0586346216779105,0.0580963924114949,0.0389290289936938,0.0864625927636241,0.0645820615914691,0.0690587554549425,0.0979977663287555,0.0301482382900565,0.1051452269456488,2,CD8T
16,0.3627696033813944,0.2040617397983759,0.3440417180158486,0.0755359565819459,0.1100894056990234,0.0233183320824732,0.3700552897118604,0.0537033172651824,0.0519465084317004,0.0375768390705009,0.0800038688949148,0.0621690994788395,0.0578823206061101,0.0909737391150447,0.0255258029781922,0.0981473501428207,2,CD8T
17,0.2711195205746998,0.1656780334333496,0.4124406480994038,0.079334861293,0.113636300123349,0.0222460158306898,0.3732574311269451,0.055847390670909,0.0660617265602934,0.0311963893586069,0.0818141001515608,0.0622730496441739,0.0600964273433098,0.1367453369230824,0.0261533463929593,0.1001640095616708,2,CD8T
18,0.2127124847799194,0.154963482782009,0.2700816555645514,0.1188779944855009,0.062911644700986,0.0260797251216904,0.2665844687510147,0.0793066729626216,0.0800712931988785,0.0365913104518553,0.1255495738660917,0.0916927196229759,0.0958731078818298,0.0937891200045076,0.0475573506146138,0.1275023652201635,2,CD8T
