pixel_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster,pixel_meta_cluster_rename
11,0.2131241729412805,0.2202922148198327,0.1574557913554616,0.5324917010130469,0.1964285796952144,0.1384240567282258,0.091599643468572,0.0934669410599098,0.2434557155277299,0.0639019129417963,0.1434288268176731,0.1007251868202345,0.0803674050010333,0.483118926302549,0.2125461118389329,0.1929799640432363,0.2084892318626679,0.0400740172575549,0.3797412662719204,0.9997335503074049,0.5062519830154866,0.0405576393974851,0.7623750589187337,0.1574728977016999,65308,6,CD366 + GzmB
12,0.1582787185469779,0.2206396763588017,0.0792607248435822,0.4671219616692164,0.2844363922934631,0.1371276343783709,0.0513894646962055,0.1733693953859744,0.1126492676401422,0.0655500063063954,0.226298888277639,0.3577728130389742,0.0831709008547492,0.792447693396284,0.1403399777508059,0.2182874205526062,0.1261236027284736,0.0371458603858901,0.3840735980027842,0.3306024880785104,0.7471004367163212,0.1434462377845349,0.6449360550057587,0.1621771534663659,111783,6,CD366 + GzmB
13,0.1907118113277832,0.2052772658952703,0.1265098693577203,0.3072418028940936,0.3519314838775459,0.2385834081737602,0.1674039493961133,0.3516199645571105,0.216952743833706,0.0972799496036163,0.1635241754722544,0.2680940458358938,0.2344138535043725,1.4066936395489291,0.1293120414688358,0.1663321761792146,0.0731457922551856,0.0583312267913783,0.2671020998982518,0.1853770361176593,0.2547289961105806,0.0987141720419546,0.3071965673232472,0.1489990669187725,59336,9,CD366 + CD44
14,0.2387939877875909,0.2896463308172797,0.1097584154921239,0.4804582278400134,0.3312702304106137,0.2022409565758395,0.0409331838372904,0.2542039783182989,0.132798558898006,0.0701628687415777,0.1568873229552357,0.2214969882788279,0.1590776058986519,0.983687497953094,0.1680472583604544,0.2035160527201004,0.1301553474172708,0.0561542151491544,0.7124140860761792,0.4835698743556884,0.2933389206784995,0.0901523765079559,0.181863451785965,0.1949548205766586,107543,6,CD366 + GzmB
15,0.2783992474784522,0.2834633698498585,0.187512143086997,0.2869707666650204,0.3056759844684049,0.1597967769914233,0.2056335675825646,0.9477087769370574,0.2287529839444,0.1027331728021739,0.1984236149998598,0.248827767656778,0.1842465662856854,0.8444621601931498,0.0820404347860493,0.1646323767182663,0.0666298731728049,0.0561261142266915,0.247270774938967,0.2115854095502919,0.2017057786419165,0.0752562013784842,0.2037059534146494,0.1666147597860706,86791,9,CD366 + CD44
16,0.2415114180992208,0.2657678729252494,0.1925269370957419,0.2413878809718113,0.2544043300245707,0.202248264760611,0.2150122102623326,1.4529729618240954,0.2703126788009716,0.1243387078172395,0.190912621206842,0.2031793644740762,0.1852922896476592,0.2343964646742813,0.1620955592701823,0.2005428367868096,0.1637759442606166,0.0839660826142712,0.2117254822833383,0.2348827328163198,0.1364329356463135,0.1132204893093144,0.1191963013539711,0.1725839422442547,61769,40,CD44
17,0.2003982400355533,0.2272795669141337,0.1559838807993427,0.283701702761306,0.2932557642276142,0.2098738768614681,0.1436338013981265,0.3345435327522526,0.2490499107503197,0.1301372050714162,0.2300704644767481,0.9609205474298672,0.2162097544495314,0.5425955422960599,0.1283535397682063,0.1748087146057917,0.1070493489262612,0.0806294659585312,0.2470661437344354,0.1794164728285134,0.2328704243199294,0.1660741937484277,0.2740999942061244,0.1367199744606165,61260,9,CD366 + CD44
18,0.0615946159632576,0.0790951992950509,0.066229703072474,0.133981562608773,0.1282982384455234,0.1421875359272575,0.0603027984281236,0.0470237444083914,0.0863008445233473,0.056266727570257,0.0641109322993173,3.4077498207002352,0.0728597296992107,0.0514904103801846,0.2775506019704189,0.0590577775459307,0.0763913813370608,0.0515256409950909,0.1580617307430029,0.0698788262727863,0.0553637846298261,0.0463322764155991,0.0461238454231096,0.0488517967308468,130335,38,CD107a
19,0.0926207625560452,0.19150358532858,0.1438817496917135,0.2581871405011451,0.3245742860729159,0.4055280637560345,0.2183416459448939,0.1089090962704136,0.2172642657911064,0.1432465435300389,0.1258488550133235,1.4321951037748308,0.2701288988907815,0.111483110942142,0.5378991990026368,0.1266474820946735,0.1639717527481222,0.0677737219110693,0.271881450174808,0.2031110758267283,0.0826113849723276,0.0800269618448945,0.0813443275953336,0.0790779250916259,124317,38,CD107a
20,0.2093194168453669,0.2805412876877854,0.1764051475696727,0.2249409256114578,0.3194728048118426,0.3938623281813695,0.2518987760889387,0.1821630195815666,0.2695773477728542,0.1186186374042315,0.2274671665749626,0.1814168888846701,1.7253756565391127,0.1937993185640454,0.161688527307048,0.1883489459400781,0.0804809171802458,0.1084099195635948,0.1644594808521308,0.178454212464527,0.1413695242671827,0.0813307243189889,0.1206386338751821,0.1486197367728071,33400,11,CD14 + CD16 + CD163
