cell_meta_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,cell_meta_cluster_rename
1,0.2808672283659273,0.35395903545181284,0.2262376299059619,0.3667843293694235,0.3451959959244493,0.2820485212795396,0.16619395723438082,0.2346406117734737,0.28630118204310484,0.18928173423379546,0.24930974243276144,0.22529601737075278,0.2632957588624294,0.3654094769872753,0.18291825638073203,0.2757228641778341,0.17104211510426792,0.16097971607033332,0.30268998658228036,0.32223789494441557,0.27812217442091874,0.11610873335397766,0.22089920391705625,0.21631823869951647,B cell
2,0.2502636998984889,0.32118893141581195,0.24532088022737517,0.35183084937694337,0.2866502546219008,0.20714276133871018,0.15147550342147165,0.2052105346569336,0.27112652046712526,0.20879593552073042,0.23095239011698365,0.22452035076646867,0.1886354764803518,0.3532264941427445,0.17298409342589416,0.25136716818266963,0.19910948321545402,0.15936995767978562,0.30629457437099467,0.316535611800094,0.3530986451232592,0.27551535180293707,0.2944231302622823,0.29083313847010944,Fibroblast
3,0.2790377888998366,0.33758761577983154,0.29603524488662364,0.40078126026562644,0.2627112817559913,0.1591526895276547,0.149209593169461,0.19923188838510597,0.2169870478736605,0.18640163741289142,0.1665563917520587,0.21546453456805037,0.12298039803045444,0.33716507260991213,0.31150448098712974,0.3431653304876445,0.4686174276843115,0.10458213681427891,0.4346912756152111,0.45009111484333647,0.30271757920324743,0.07246895241577928,0.16116940303683983,0.19451202804291542,Cancer cell
4,0.3776213335838079,0.4519298663856144,0.2663993628486885,0.31019026116174825,0.2581929453814671,0.2022821201125354,0.14409477129226994,0.2467672355457719,0.4093823411888153,0.351473624111424,0.21811326285039348,0.1906215965258566,0.17101244296173918,0.3219265774148901,0.15727803787901048,0.2731459088243772,0.19431869459761553,0.2130735409142105,0.25957910991746747,0.2859286213391582,0.27324816878894564,0.13269190044274026,0.22709028667484527,0.2267820043118275,Memory CD4 T cell
6,0.26362622322823415,0.3605932896211766,0.2663968388744248,0.3441436229960034,0.29442963563824254,0.2417170433161172,0.15564436507031562,0.22577542890711946,0.3111000366594126,0.24234339110962536,0.26232833990937576,0.2176757562244208,0.2094093732055489,0.30355512557664144,0.22549469271720624,0.2604560220987838,0.3048268822639209,0.3182407074493052,0.3040743942699867,0.3419233658303191,0.2601121922071088,0.09430892758363904,0.18348940252580576,0.21413071135455322,Antigen presenting cell
8,0.23897216024575516,0.3782284674140652,0.23582855319847898,0.32668510710895465,0.33366761539588363,0.316975773932155,0.15223050604537075,0.2333765376397321,0.34404976890175704,0.23860717749464344,0.38997011369266354,0.2416016543502267,0.31036736301220674,0.30240717886702795,0.13895056785848894,0.21635739922121527,0.15200460167087096,0.32373042255368406,0.22170564831824507,0.28831799060077484,0.2609958806738779,0.10996954012117095,0.22807890705008102,0.22603010031440593,Macrophage
9,0.2990057375832147,0.36232726365613016,0.2938991893155916,0.36692263894334615,0.28429958644861253,0.20822295232397642,0.1594163077248446,0.23194134961846155,0.3458300180425369,0.2450348344694083,0.24728503187589287,0.19818993489400405,0.17764480287791135,0.3300359208144964,0.15751200910080526,0.27245098926621514,0.18303798361242246,0.1834998504489336,0.2705276654464447,0.33302380103956547,0.33907333786977834,0.11186032028038757,0.2553615697014022,0.2910536943735617,Endothelial cell
10,0.2580550564273203,0.325246178764192,0.2789188255978702,0.5003060664643999,0.2729880171364223,0.2138164872721641,0.1510267753066256,0.2002276128964601,0.38659432270634375,0.3394608138815625,0.3727289705479391,0.1937630152084538,0.19328786638838588,0.283195183809787,0.17765371639299035,0.2222446671909155,0.18309638034375939,0.1720158872506752,0.2427811490244151,0.32197864515124613,0.3844675052683997,0.09804808973492204,0.20205921143974054,0.23550423110434449,Neutrophil
11,0.29795077634811235,0.3316429153974141,0.31400555546375647,0.3531737352237381,0.25519223060251733,0.17131926353089275,0.17676051391996384,0.18613933872613936,0.255762114171028,0.37950346167689497,0.18709664876496898,0.18733097813955407,0.14506165749835792,0.2930488574164099,0.2685080021874454,0.3258557342185958,0.36489352138509945,0.1330962842457535,0.3426981922676915,0.36525552833530717,0.3030257670656748,0.09840104178253517,0.15661833643344197,0.23571960136902725,Memory CD8 T cell
14,0.3267146213499375,0.3459952040120219,0.3649775080489705,0.34662143148752317,0.2805771830726581,0.21030445087004054,0.1739985032458887,0.21637411877830046,0.3275314652710027,0.2748715539827071,0.224526141902227,0.19882360360648613,0.19213665111123437,0.3062196426076135,0.21599753170836766,0.2662323608054377,0.29696991823516855,0.16164935210480197,0.30535083738221674,0.3366326787867162,0.2858811944375606,0.113863706681026,0.17595092081812597,0.2169338172452376,CD8 T cell
