Alpha-SMA,B7-H4,Beta-Catenin,CD107a,CD11b,CD14,CD16,CD163,CD20,CD27,CD3,CD31,CD366,CD38,CD4,CD44,CD45,CD45RO,CD68,CD8a,Collage-Type_I,DNA1,DNA2,E-Cadherin,EGFR,FOXP3,Granzyme-B,HLA-DR-DQ-DP,Ki-67,PD-1,PD-L1,PD-L2,Pan-keratin,Tbet,VEGF,Vimentin,p53
0.1273339752677327,0.12073347646578429,0.09613706853183843,0.269747051758593,0.10743998890533893,0.20245758244408774,0.14571940355839808,0.1675994080701771,0.016965590191951034,0.06671519819623216,0.07882179947797859,0.06813909348805024,0.1513085665342702,0.06702197858130174,0.13028773690335274,0.2091472907068609,0.20494785157788012,0.1853659851932128,0.36812729793809873,0.08840623311249979,0.143451777389004,0.2551645858921047,0.325837382099933,0.0667528731386451,0.04120012468289375,0.03488460330345485,0.11259961073281322,0.24116438166605728,0.031500896642092935,0.019735303830811464,0.04730742029919484,0.030763497775461897,0.04043069760114611,0.031028914022704763,0.13142140130415292,0.18493836839494665,0.04376797480840141
0.07603582677131482,0.05499043505743692,0.07657830614346012,0.09164161768168522,0.14170114495877678,0.052307841597532115,0.048548418026779595,0.03454217391075025,0.014379894964250904,0.015422645320432419,0.04872443144493228,0.0535549229090306,0.0717605806285445,0.04325969099935829,0.04431709528890374,0.10555614936670744,0.13557607505485997,0.18208465500015944,0.450476653785164,0.06059342890792572,0.303701462998556,0.28092901988351554,0.3619636624557663,0.03469711051510606,0.02370489011630818,0.014992668216006677,0.21021727593681555,0.3396666051734406,0.024360217736778128,0.01184316210786621,0.031363582905870206,0.018950620285767664,0.02510650505123722,0.014093492794381794,0.07200542504055776,0.18302800751411838,0.016633540505850808
0.12049083841991018,0.17352723141696144,0.22001302272254042,0.1337931670213706,0.1612298625950668,0.15886388703876284,0.09566962109348087,0.06314508686721033,0.02641439099539735,0.1514341324694561,0.1305536247227841,0.08165007111144673,0.16257892077714026,0.1516546479984517,0.11315449502154074,0.11726812482194215,0.20752959384395953,0.1220701323246037,0.20817753146980167,0.10786384922432983,0.20966843833260645,0.3387643954412539,0.4060465332934876,0.07977569856319616,0.03400793753558982,0.04682689182502556,0.235445021269257,0.17168360648799963,0.07958734969244617,0.013503383372409644,0.06358709581107147,0.019378407481331964,0.049551313858442324,0.022211079688241105,0.19121760934719007,0.1749961849375241,0.06843965259074998
0.1169026120662936,0.1614382786627934,0.05600129120468057,0.24363243100804816,0.1350067548821255,0.18085504864857588,0.07922787020493957,0.055034403903914744,0.016945997533210775,0.06632158654921991,0.10335817400220763,0.053215789711789974,0.18138096697662964,0.07108093462872096,0.12459666840245424,0.23186649460832573,0.19367743175674731,0.22555833861134542,0.16345615669784389,0.12586463991072894,0.06465209572201226,0.27554435023354185,0.3550424875943746,0.18726435274750594,0.10197448868277273,0.06534409888855927,0.11458757470013903,0.2580233466699138,0.06481436478141207,0.04231354677031588,0.05265238903038746,0.057554144882904945,0.08029750580309246,0.058223668469844114,0.18431638431082834,0.21505453125959273,0.0974353523421593
0.3497400036247601,0.1650081262787965,0.2359890401565877,0.1427934146748288,0.14224434489415858,0.13796084251055568,0.07283200975591367,0.04326250853509209,0.02293675995951227,0.11834063563422398,0.12753846323072396,0.07252315955801049,0.1656268754676239,0.09504897550901205,0.1007283885615215,0.10422175554702526,0.16503973734442495,0.118226310280781,0.16382512919378964,0.10771302395332458,0.2821920632070455,0.29587637689193547,0.3649578236173414,0.08055780663701392,0.0371507352942344,0.04440723725306297,0.22080500971963637,0.1465831374811951,0.07106740965835132,0.012185697962284513,0.05707772292348521,0.018993528677888147,0.051410681357660186,0.020275873502938194,0.17639638435311072,0.1904367765537852,0.0845957858426816
0.19551988725743094,0.09528043854329615,0.11446389873812442,0.15946587654526198,0.09150434371175321,0.1140753812240711,0.0772031412594257,0.059504324948118935,0.028386877074018133,0.08940879464855567,0.11005738392145337,0.06209280288111338,0.12155861811573393,0.0802031975674814,0.10245139257143002,0.1520799932660318,0.21911551848903693,0.17361512908203527,0.19439207978844814,0.11499827890429823,0.1660687825210297,0.41695876148756095,0.5065850958217276,0.056929365649565744,0.032792868845146345,0.034450851773236785,0.11785042711484729,0.16875965420593994,0.03843408271783127,0.013692273012989524,0.04275253671061318,0.021833029653721386,0.030142900729563993,0.0214487381815477,0.11665162416260219,0.11884566671738316,0.04264299692976191
0.08961756889698208,0.17525435140468754,0.22622866494459345,0.16224720643957463,0.14953477049002242,0.20245697148630115,0.1586480335261404,0.11543949019447439,0.04174505743981476,0.1354015643618477,0.15787019365487276,0.062481473388736636,0.1734781935075777,0.10769188850248669,0.14232627777287074,0.12780188849318697,0.23667910513503537,0.1854941783292868,0.2722356469532268,0.1593815475497594,0.16979137805554226,0.21191066395134275,0.2662663052956606,0.11046361433945129,0.04113621295475904,0.050564243307742264,0.19939291640730272,0.3227506923707481,0.08641247889204695,0.01929003180534961,0.07540888072324771,0.02547107891631374,0.05211981961030498,0.02800903581028558,0.1839214344985723,0.16628545642241835,0.06526767631168062
0.06443075385959664,0.14824905526505114,0.24136689956034918,0.15037989558949444,0.11879972199151882,0.10435506054735001,0.05342562529203155,0.031057690950343463,0.03806385216703292,0.097153237701243,0.09404503778720154,0.03861557452160274,0.1198990054862294,0.07034217438924993,0.08393155248634293,0.10971050295179297,0.13951209951373794,0.1003449075011256,0.14686887879633187,0.08928131861997637,0.06075216987293082,0.42999807613770796,0.5186930127511652,0.21538049483318372,0.05422698489233562,0.048937664218200304,0.14134204656468047,0.1390980288424716,0.12024094762444655,0.012866759313947101,0.05052096971390824,0.01445551250734039,0.10870197868354967,0.02002363839887321,0.1726128688720844,0.06302287950409127,0.10807538193239531
0.12132004172255616,0.1450585465182484,0.19458727490208474,0.130393079833069,0.12684174447588983,0.14072848896640613,0.07295830680313638,0.05549152439969124,0.10868821252125788,0.13045026560603726,0.1969344100577099,0.050665781639046746,0.1603635386704053,0.07804069239870907,0.13222621020277003,0.11962585032888062,0.2618476241460054,0.23330208047502768,0.18018568159401524,0.18614690024065614,0.18977923040935987,0.32550911304676017,0.3928768075080554,0.06839859547424389,0.03037651267718456,0.04083447535604372,0.16870637610968717,0.22793105398159394,0.05610236899028972,0.017071385509726474,0.05101482117558583,0.026035258514301347,0.0383660252878584,0.020376230493180367,0.15981524573972358,0.16875571729242192,0.050199455874288985
0.41714120080751527,0.18051100375119378,0.2572503658109313,0.13741304240400645,0.1560281441235876,0.1189526289263415,0.04771582732787363,0.028840030226055614,0.016888184574977618,0.08113832983614694,0.07392891228047635,0.057511057917542234,0.17183197228267186,0.07479196195451307,0.06729894854955965,0.11930242775842592,0.09941857826361446,0.16467868768917304,0.10825440068136977,0.12006504039573168,0.1628225667406667,0.2472664236929011,0.3067608363212484,0.22519774588203453,0.054707283307312414,0.03888556927028527,0.24870231797594988,0.09436925972829797,0.1218280377903266,0.02473514070331561,0.0439748049617235,0.03701651040883005,0.08772067951177831,0.026880062390694643,0.22489467068567975,0.2092934270901333,0.10594135045066029
0.12258227477534304,0.12347785837679352,0.12355914549887985,0.1027832543988102,0.12880598729468237,0.1263825545747122,0.044059549937964015,0.03377480129809481,0.010468486596996916,0.03482292683975119,0.061621883879684564,0.04592770264801525,0.17710385679760826,0.06757552783513009,0.0681409555266557,0.1517354536550587,0.10615223669494281,0.16576996113156114,0.08136939722751182,0.09842278259153281,0.16031382095114763,0.3459619252011207,0.4321388738264197,0.13042123924624918,0.12212375763902446,0.0296749966685558,0.11759568690727977,0.09561078205932995,0.038691327810960324,0.02896941038491253,0.04838353931206546,0.04420571680820093,0.05211056167019881,0.03918968257505798,0.19682434230855317,0.36649776126786215,0.1812148909018686
0.33543678492164763,0.12422366011619329,0.06485635458445645,0.20172410436361551,0.1219671451107515,0.19210017845842797,0.11248440624928574,0.0942702078137782,0.020389058224748628,0.06055441373966372,0.095215256382777,0.06858915875726827,0.1800904374822128,0.06610034718385012,0.123812541077034,0.1910310232852469,0.19992134837019615,0.214495346061626,0.21371759473672355,0.11282640414657906,0.22301863123619936,0.22037697450622853,0.28546270904814475,0.07394638716180538,0.05444435314508733,0.03919078469851597,0.1307380156434162,0.2205070951527584,0.037754285630599356,0.02914459677414702,0.04519726553267462,0.04574532682586594,0.04288185473875277,0.042418633497889185,0.14819210145490733,0.29293940003217284,0.045914439492632096
