CD38,EGFR,p53,CD14,Tbet,CD16,CD163,Pan-keratin,CD11b,PD-L1,CD107a,CD45,CD44,CD366,FOXP3,CD4,E-Cadherin,CD68,HLA-DR-DQ-DP,CD20,CD8a,VEGF,PD-1,Beta-Catenin,B7-H4,Granzyme-B,Ki-67,Collage-Type_I,CD3,CD27,PD-L2,CD45RO,Alpha-SMA,Vimentin,CD31,DNA1,DNA2
0.04356437753171601,0.04800354182928514,0.034761396529545754,0.13330563781810514,0.03760514735562141,0.09289551495872396,0.15888707990174722,0.04055171705799331,0.09330564269242578,0.03444666867207582,0.23834648711664563,0.132442580195261,0.12504784352193216,0.1405686006031848,0.02468065932452442,0.11764241299264315,0.06814092348536405,0.24876207268655118,0.3540762973545923,0.009741434647711926,0.09995681480774664,0.1088965359135654,0.023268566177717477,0.025745862464300467,0.09759271052446007,0.07035093000313734,0.016978263411997135,0.31808353117839955,0.0709005947764124,0.03598170024228466,0.03639824288196388,0.11197178731282968,0.26342660454141453,0.27467055580246996,0.0651471090444844,0.27479126082889543,0.35205070253528165
0.06246073818757342,0.05836565700176556,0.045213616700988044,0.16841969969084222,0.051528235865266205,0.062175994621201006,0.05038101108860513,0.045847559679758974,0.1672485277355641,0.04913278179096553,0.157259659937616,0.17012631109052456,0.10878375060995325,0.1988478972185835,0.03957550328716387,0.10613961149939424,0.1166181561782691,0.18413204523550214,0.1211865783082297,0.010407407568631729,0.1388627109467492,0.1723293329170312,0.04082500755131351,0.05565393731451665,0.13943897506416206,0.2160254578500223,0.058393559746510365,0.20383427384488875,0.0899070658573598,0.04607752270806843,0.04872330847543382,0.15921296484339278,0.30645489504753054,0.3951661531639623,0.10031281508938486,0.2757436324613586,0.3369654659227247
0.05877964497380853,0.11336214558717712,0.039114030065311715,0.1019662109816737,0.06482683505001585,0.04427098560612658,0.020792568471953536,0.12547983061538515,0.15695915197334914,0.043913329982871646,0.19974517571936531,0.12565095156409056,0.166571578842627,0.20793106110119683,0.032634561977975624,0.11110560307792874,0.18507437459789228,0.059950374940297674,0.05145156129045995,0.006483569581636431,0.12410350331862696,0.17504237662945502,0.04578475278260627,0.03615822542019565,0.14881834368173522,0.12040227269231392,0.059657449676300586,0.11658931336701774,0.09916729833152771,0.04839484636474571,0.05994769267855466,0.11245611797331709,0.13137435388007138,0.1030795557953868,0.037933577098791055,0.4563701153696158,0.5717287082991062
0.04636953544119135,0.08385595783799578,0.04641893344684151,0.08839522774038727,0.04777087653916155,0.03574930920177927,0.0211204925378431,0.07562172593719951,0.12399191581533286,0.035655811236860915,0.16100631139990443,0.11395297742461043,0.12480116447898722,0.1728900457224317,0.025404883621075725,0.09460706805877599,0.10972968030244008,0.06621430200301262,0.10511618355969636,0.006818857590213805,0.11481540176732848,0.15041044127623432,0.032795243494530786,0.03432055708276052,0.11406863453254418,0.0873420736357067,0.03429967322066304,0.5085112249830244,0.09441863998610206,0.04201717860220419,0.0434793226182335,0.10933958368384568,0.2128659987259008,0.18500513986753253,0.03571346593682581,0.3416172301713183,0.4414846759272864
0.07924540816737667,0.06549569384660767,0.05725624358176807,0.1608645988313605,0.06844587124204833,0.05850593707836545,0.03678119899859559,0.05160420500418753,0.18986379545887552,0.0613810847575535,0.0804138107157285,0.16285723354870768,0.06216638983539138,0.19651587461434103,0.05642904401609982,0.11173159712486119,0.18119681237917523,0.1357638404117993,0.08444932816295737,0.01110495106778748,0.15356686251847915,0.1865689476049203,0.05553135848729908,0.06112854358210318,0.16332069195807064,0.21250697676332111,0.11169641205331209,0.12160168908246066,0.10443984538772139,0.05714107623290624,0.06347207927072801,0.2372042269644344,0.12341610766257237,0.44058345077290384,0.06757582402124898,0.32667191749519403,0.39261359735978474
0.05945108726759147,0.1609279292856537,0.03580105860327974,0.09048772831501,0.05638540587640083,0.04018785015243054,0.019487354200404924,0.0680589964891743,0.13432411172499517,0.03925432568211857,0.1871805166612937,0.11153074014857463,0.08198449916969967,0.18588010446882278,0.027510531823815063,0.09928868936778297,0.17262876836044272,0.06894995578822152,0.04197492053574807,0.005932430571108507,0.1110366932336253,0.16352539647532002,0.038108280675490075,0.03277985745834862,0.13019181756458956,0.10392807783247214,0.031167156304465243,0.09118253002396563,0.08848503627332704,0.042793650537330225,0.05181552866550372,0.120518702614929,0.1143789237437744,0.2584526808905825,0.03614054519113686,0.46527915738525316,0.5812655021977478
0.04841467451011859,0.05121205238443936,0.034437273999605396,0.09084440697105864,0.03484768740445237,0.03186489943207206,0.029218060831487074,0.034530300544823776,0.09206588690558302,0.03228949594686898,0.11840672621107046,0.13388923874218475,0.13236587137318712,0.17965404204203916,0.019310489477364006,0.08273080462047905,0.05500178283910112,0.05888155059860558,0.11330288485003702,0.007680821734837373,0.12962377236327627,0.10670525131772607,0.02227264460519721,0.025069217677613796,0.0812270940919037,0.09568661823988435,0.023952633932332792,0.2923898425798727,0.09301551465338774,0.04425499806392354,0.03193471821298371,0.15746100276176292,0.25093882988205674,0.48994977370608594,0.057191038452207514,0.3470272930935648,0.4305905486915004
0.06669827173475824,0.10009702124228152,0.047277149286104055,0.11713221019319937,0.05912812599492508,0.045681370078897277,0.025936800123242038,0.11110183466735418,0.1701205609787735,0.045970141899448945,0.15307477842825531,0.14254146965513628,0.12888187166846904,0.21355204487194612,0.0325868447230587,0.10957394107280223,0.13545435026531277,0.06792786936078433,0.2932072127754866,0.012021122318930799,0.14601623174136166,0.16923843985835402,0.04162709219854877,0.04176023901589278,0.13700151748727696,0.11351460386196517,0.06258015000124988,0.2198841845815199,0.09423998693070433,0.04682085228736472,0.05118214237999488,0.1530471583278356,0.20751411856080149,0.24747977835340088,0.04298236506361948,0.36135497177335674,0.451202991040175
0.08066468870486239,0.07027354238095494,0.059812384419651095,0.19355694281059704,0.07509982412513388,0.06849572106732695,0.05034188285148074,0.06208799196411247,0.2148939444556859,0.06737401038642904,0.10224087584933443,0.18073680721601876,0.07445590197121991,0.22784595843374042,0.05880121375388677,0.1285128947272684,0.21380732830402735,0.15053421419234422,0.10627042328787,0.014089019553494361,0.17609060124930442,0.21046822090328784,0.05921050293442093,0.0748599386150388,0.18856712544848644,0.23713820764698895,0.07138379253172793,0.1567396476020116,0.11563864322245765,0.06412074052708225,0.06678811908371331,0.15853442390814468,0.12354885185240978,0.4877040097844481,0.07516613886790793,0.20693470563490624,0.26305030877444063
0.3074506831746602,0.12937987805695786,0.04918594612466931,0.11060812815096528,0.06560852135225599,0.04995737676016275,0.026773247395825872,0.1056561484850036,0.158922510083342,0.044823890830142855,0.22118187380072274,0.13000744644426898,0.11597800077088767,0.19380073546192297,0.03170872544657454,0.11063878957726592,0.15983390110358262,0.08076194802745464,0.06534466512404484,0.006819809557077668,0.12821365806321386,0.17410887969863414,0.04504477297715347,0.035774729237447456,0.1396351663412106,0.14483938760278206,0.055163229371009176,0.12505500476994721,0.09841316346733789,0.04669753092189885,0.0555271360642849,0.10306237408380757,0.1311874124109408,0.1714463597425059,0.041710934478729166,0.3655861329817188,0.4699911103729092
