item,label
140750,CI_Monocyte
140751,Naive CD4 T cells
140752,Regulatory T cells
140753,Memory B cells
140754,Regulatory T cells
140755,Memory B cells
140756,CD163n_Mac [M1]
140757,Memory B cells
140758,Regulatory T cells
140759,Regulatory T cells
140760,Regulatory T cells
140761,Memory B cells
140762,Regulatory T cells
140763,Regulatory T cells
140764,CD163n_Mac [M1]
140765,Regulatory T cells
140766,CD163n_Mac [M1]
140767,Int_Monocyte
140768,Naive B cells
140769,Regulatory T cells
140770,Naive CD4 T cells
140771,Regulatory T cells
140772,Int_Monocyte
140773,CD163n_Mac [M1]
140774,Regulatory T cells
140775,Memory B cells
140776,Int_Monocyte
140777,Regulatory T cells
140778,CI_Monocyte
140779,Regulatory T cells
140780,CD163n_Mac [M1]
140781,Regulatory T cells
140782,Regulatory T cells
140783,Regulatory T cells
140784,Regulatory T cells
140785,Regulatory T cells
140786,Regulatory T cells
140787,Regulatory T cells
140788,Regulatory T cells
140789,Regulatory T cells
140790,Memory B cells
140791,CD163n_Mac [M1]
140792,Regulatory T cells
140793,Regulatory T cells
140794,Regulatory T cells
140795,Regulatory T cells
140796,CI_Monocyte
140797,Regulatory T cells
140798,Regulatory T cells
140799,CI_Monocyte
140800,Regulatory T cells
140801,Memory B cells
140802,Memory B cells
140803,Regulatory T cells
140804,Regulatory T cells
140805,Regulatory T cells
140806,Memory B cells
140807,Regulatory T cells
140808,Regulatory T cells
140809,Regulatory T cells
140810,Naive CD4 T cells
140811,Naive B cells
140812,Regulatory T cells
140813,Int_Monocyte
140814,CD163n_Mac [M1]
140815,CD163n_Mac [M1]
140816,Regulatory T cells
140817,Memory B cells
140818,CI_Monocyte
140819,Memory B cells
140820,CD163n_Mac [M1]
140821,Regulatory T cells
140822,Regulatory T cells
140823,Memory B cells
140824,Regulatory T cells
140825,Regulatory T cells
140826,Regulatory T cells
140827,Memory B cells
140828,Regulatory T cells
140829,Regulatory T cells
140830,Regulatory T cells
140831,CD163n_Mac [M1]
140832,Memory B cells
140833,Memory B cells
140834,Regulatory T cells
140835,Regulatory T cells
140836,Regulatory T cells
140837,Regulatory T cells
140838,Regulatory T cells
140839,Regulatory T cells
140840,Regulatory T cells
140841,Regulatory T cells
140842,Regulatory T cells
140843,Regulatory T cells
140844,Naive CD4 T cells
140845,Regulatory T cells
140846,Regulatory T cells
140847,Regulatory T cells
140848,Regulatory T cells
140849,Memory B cells
140850,Memory B cells
140851,Memory B cells
140852,Regulatory T cells
140853,Regulatory T cells
140854,Memory B cells
140855,Naive CD4 T cells
140856,Memory CD8 T cells
140857,Regulatory T cells
140858,Regulatory T cells
140859,Naive CD4 T cells
140860,Regulatory T cells
140861,CD163n_Mac [M1]
140862,Memory B cells
140863,Memory B cells
140864,Regulatory T cells
140865,Memory B cells
140866,Regulatory T cells
140867,Regulatory T cells
140868,Regulatory T cells
140869,Memory B cells
140870,Regulatory T cells
140871,Regulatory T cells
140872,Regulatory T cells
140873,Regulatory T cells
140874,Memory B cells
140875,Regulatory T cells
140876,Regulatory T cells
140877,Regulatory T cells
140878,CI_Monocyte
140879,Regulatory T cells
140880,Memory B cells
140881,Regulatory T cells
140882,Regulatory T cells
140883,Regulatory T cells
140884,CI_Monocyte
140885,Regulatory T cells
140886,Memory B cells
140887,Memory B cells
140888,Regulatory T cells
140889,Regulatory T cells
140890,Regulatory T cells
140891,CD163n_Mac [M1]
140892,Regulatory T cells
140893,Regulatory T cells
140894,Memory B cells
140895,Regulatory T cells
140896,Memory B cells
140897,Regulatory T cells
140898,Memory B cells
140899,Regulatory T cells
140900,Memory B cells
140901,Regulatory T cells
140902,Regulatory T cells
140903,Regulatory T cells
140904,Regulatory T cells
140905,Regulatory T cells
140906,Regulatory T cells
140907,Memory B cells
140908,Regulatory T cells
140909,Naive CD4 T cells
140910,Memory B cells
140911,Regulatory T cells
140912,Regulatory T cells
140913,Naive CD4 T cells
140914,Regulatory T cells
140915,Regulatory T cells
140916,Memory B cells
140917,Naive CD8 T cells
140918,Regulatory T cells
140919,Memory B cells
140920,CD163n_Mac [M1]
140921,Memory B cells
140922,Memory B cells
140923,Regulatory T cells
140924,Regulatory T cells
140925,CD163n_Mac [M1]
140926,Memory B cells
140927,Regulatory T cells
140928,Regulatory T cells
140929,Regulatory T cells
140930,Regulatory T cells
140931,Regulatory T cells
140932,Int_Monocyte
140933,Regulatory T cells
140934,Memory B cells
140935,Regulatory T cells
140936,Regulatory T cells
140937,Memory B cells
140938,Regulatory T cells
140939,Regulatory T cells
