cell_som_cluster,cell_meta_cluster,cell_meta_cluster_rename
236,1,B cell
237,9,Endothelial cell
238,14,CD8 T cell
239,14,CD8 T cell
240,14,CD8 T cell
241,3,Cancer cell
242,3,Cancer cell
243,2,Fibroblast
244,3,Cancer cell
245,11,Memory CD8 T cell
246,11,Memory CD8 T cell
247,9,Endothelial cell
248,9,Endothelial cell
249,9,Endothelial cell
250,9,Endothelial cell
251,9,Endothelial cell
252,10,Neutrophil
253,10,Neutrophil
254,10,Neutrophil
255,19,Monocyte
256,19,Monocyte
257,14,CD8 T cell
258,14,CD8 T cell
259,14,CD8 T cell
260,14,CD8 T cell
261,3,Cancer cell
262,3,Cancer cell
263,11,Memory CD8 T cell
264,11,Memory CD8 T cell
265,11,Memory CD8 T cell
266,11,Memory CD8 T cell
267,11,Memory CD8 T cell
268,9,Endothelial cell
269,9,Endothelial cell
270,9,Endothelial cell
271,9,Endothelial cell
272,10,Neutrophil
273,10,Neutrophil
274,10,Neutrophil
275,19,Monocyte
276,19,Monocyte
277,8,Macrophage
278,8,Macrophage
279,14,CD8 T cell
280,14,CD8 T cell
281,3,Cancer cell
282,3,Cancer cell
283,11,Memory CD8 T cell
284,11,Memory CD8 T cell
285,11,Memory CD8 T cell
286,11,Memory CD8 T cell
287,2,Fibroblast
288,2,Fibroblast
289,2,Fibroblast
290,2,Fibroblast
291,9,Endothelial cell
292,10,Neutrophil
293,10,Neutrophil
294,10,Neutrophil
295,19,Monocyte
296,19,Monocyte
297,8,Macrophage
298,8,Macrophage
299,6,Antigen presenting cell
300,6,Antigen presenting cell
301,3,Cancer cell
302,3,Cancer cell
303,11,Memory CD8 T cell
304,11,Memory CD8 T cell
305,11,Memory CD8 T cell
306,11,Memory CD8 T cell
307,2,Fibroblast
308,2,Fibroblast
309,2,Fibroblast
310,2,Fibroblast
311,2,Fibroblast
312,2,Fibroblast
313,8,Macrophage
314,1,B cell
315,19,Monocyte
316,8,Macrophage
317,8,Macrophage
318,6,Antigen presenting cell
319,8,Macrophage
320,6,Antigen presenting cell
321,3,Cancer cell
322,3,Cancer cell
323,11,Memory CD8 T cell
324,3,Cancer cell
325,14,CD8 T cell
326,3,Cancer cell
327,2,Fibroblast
328,2,Fibroblast
329,2,Fibroblast
330,2,Fibroblast
331,2,Fibroblast
332,2,Fibroblast
333,8,Macrophage
334,14,CD8 T cell
335,1,B cell
336,3,Cancer cell
337,17,NK/CD8
338,2,Fibroblast
339,6,Antigen presenting cell
340,6,Antigen presenting cell
341,14,CD8 T cell
342,14,CD8 T cell
343,11,Memory CD8 T cell
344,14,CD8 T cell
345,9,Endothelial cell
346,6,Antigen presenting cell
347,14,CD8 T cell
348,14,CD8 T cell
349,2,Fibroblast
350,2,Fibroblast
351,2,Fibroblast
352,14,CD8 T cell
353,14,CD8 T cell
354,6,Antigen presenting cell
355,6,Antigen presenting cell
356,19,Monocyte
357,1,B cell
358,4,Memory CD4 T cell
359,6,Antigen presenting cell
360,6,Antigen presenting cell
361,14,CD8 T cell
362,14,CD8 T cell
363,14,CD8 T cell
364,14,CD8 T cell
365,14,CD8 T cell
366,14,CD8 T cell
367,14,CD8 T cell
368,14,CD8 T cell
369,14,CD8 T cell
370,14,CD8 T cell
371,14,CD8 T cell
372,19,Monocyte
373,14,CD8 T cell
374,14,CD8 T cell
375,6,Antigen presenting cell
376,6,Antigen presenting cell
377,2,Fibroblast
378,6,Antigen presenting cell
379,14,CD8 T cell
380,6,Antigen presenting cell
381,14,CD8 T cell
382,14,CD8 T cell
383,14,CD8 T cell
384,14,CD8 T cell
385,14,CD8 T cell
386,14,CD8 T cell
387,14,CD8 T cell
388,14,CD8 T cell
389,14,CD8 T cell
390,14,CD8 T cell
391,14,CD8 T cell
392,14,CD8 T cell
393,14,CD8 T cell
394,14,CD8 T cell
395,6,Antigen presenting cell
396,6,Antigen presenting cell
397,6,Antigen presenting cell
398,6,Antigen presenting cell
399,6,Antigen presenting cell
400,6,Antigen presenting cell
